Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2022/10/19,23-070,MEM,,NYK,W (+3),1,37:53:00,11,24,0.458,3,6,0.5,9,11,0.818,1,3,4,9,0,1,6,4,34,21.8,1
2,2,2022/10/21,23-072,MEM,@,HOU,W (+7),1,31:14:00,17,26,0.654,5,6,0.833,10,13,0.769,3,1,4,8,1,2,3,2,49,43,23
3,3,2022/10/22,23-073,MEM,@,DAL,L (-41),1,29:31:00,6,12,0.5,0,2,0,8,8,1,0,1,1,4,1,0,3,3,20,13.9,-31
4,4,2022/10/24,23-075,MEM,,BRK,W (+10),1,34:10:00,12,22,0.545,4,6,0.667,10,11,0.909,2,6,8,7,2,0,2,1,38,34.7,20
5,5,2022/10/27,23-078,MEM,@,SAC,W (+15),1,31:30:00,8,18,0.444,1,3,0.333,5,5,1,1,4,5,6,0,0,3,1,22,15.3,2
6,,2022/10/29,23-080,MEM,@,UTA,L (-1),Inactive,,,,,,,,,,,,,,,,,,,,,
7,6,2022/10/31,23-082,MEM,@,UTA,L (-16),1,31:29:00,12,18,0.667,1,2,0.5,12,15,0.8,1,4,5,4,0,0,3,2,37,28.9,-19
8,7,2022/11/2,23-084,MEM,@,POR,W (+5),1,32:04:00,7,19,0.368,0,2,0,6,7,0.857,0,9,9,7,2,0,8,1,20,10.3,1
9,8,2022/11/4,23-086,MEM,,CHO,W (+31),1,24:54:00,4,12,0.333,1,3,0.333,3,4,0.75,0,4,4,11,0,0,5,0,12,8.7,40
10,9,2022/11/6,23-088,MEM,,WAS,W (+6),1,33:15:00,9,27,0.333,1,4,0.25,4,6,0.667,2,7,9,6,1,0,4,0,23,11.6,3
11,10,2022/11/7,23-089,MEM,,BOS,L (-3),1,35:19:00,10,24,0.417,5,12,0.417,5,9,0.556,0,8,8,9,2,1,4,4,30,21.4,14
12,11,2022/11/9,23-091,MEM,@,SAS,W (+2),1,39:33:00,14,25,0.56,2,5,0.4,2,3,0.667,0,5,5,5,1,0,3,1,32,22.3,11
13,12,2022/11/11,23-093,MEM,,MIN,W (+11),1,33:40:00,11,25,0.44,2,10,0.2,4,7,0.571,3,7,10,8,2,0,4,4,28,19.9,-2
14,,2022/11/13,23-095,MEM,@,WAS,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
15,13,2022/11/15,23-097,MEM,@,NOP,L (-11),1,36:02:00,13,27,0.481,2,6,0.333,8,11,0.727,3,5,8,4,3,0,3,1,36,27.1,5
16,14,2022/11/18,23-100,MEM,,OKC,W (+11),1,32:01:00,5,20,0.25,0,2,0,9,10,0.9,2,5,7,11,0,1,2,1,19,15.5,6
17,,2022/11/20,23-102,MEM,@,BRK,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
18,15,2022/11/22,23-104,MEM,,SAC,L (-4),1,33:50:00,12,21,0.571,1,3,0.333,9,15,0.6,1,6,7,6,2,0,5,2,34,24.6,1
19,16,2022/11/25,23-107,MEM,,NOP,W (+21),1,27:59:00,8,16,0.5,2,6,0.333,5,10,0.5,2,2,4,11,0,0,2,1,23,20.3,24
20,17,2022/11/27,23-109,MEM,@,NYK,W (+4),1,35:14:00,9,20,0.45,0,3,0,9,11,0.818,1,9,10,14,1,0,4,3,27,24.8,7
21,18,2022/11/30,23-112,MEM,@,MIN,L (-8),1,34:23:00,8,20,0.4,2,4,0.5,6,11,0.545,2,3,5,6,2,0,7,2,24,11.9,-9
22,19,2022/12/2,23-114,MEM,,PHI,W (+8),1,35:30:00,10,28,0.357,2,8,0.25,6,8,0.75,1,7,8,3,0,0,1,3,28,14.3,-8
23,20,2022/12/4,23-116,MEM,@,DET,W (+10),1,34:59:00,12,23,0.522,3,7,0.429,6,8,0.75,1,4,5,10,1,0,4,2,33,26,21
24,,2022/12/5,23-117,MEM,,MIA,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
25,21,2022/12/7,23-119,MEM,,OKC,W (+21),1,30:09:00,8,16,0.5,2,3,0.667,8,10,0.8,3,10,13,11,2,0,3,2,26,28.2,11
26,22,2022/12/9,23-121,MEM,,DET,W (+11),1,32:32:00,6,20,0.3,0,7,0,3,5,0.6,1,5,6,12,3,1,4,3,15,11.7,22
27,,2022/12/12,23-124,MEM,,ATL,W (+25),Inactive,,,,,,,,,,,,,,,,,,,,,
28,23,2022/12/15,23-127,MEM,,MIL,W (+41),1,25:39:00,9,21,0.429,2,8,0.25,5,8,0.625,2,8,10,10,1,0,1,1,25,23.1,30
29,24,2022/12/17,23-129,MEM,@,OKC,L (-6),1,16:01,3,10,0.3,0,3,0,0,1,0,0,5,5,2,0,0,2,1,6,0.3,-10
30,25,2022/12/20,23-132,MEM,@,DEN,L (-14),1,38:04:00,12,26,0.462,3,6,0.5,8,10,0.8,0,1,1,10,0,0,7,2,35,20.3,-16
31,26,2022/12/23,23-135,MEM,@,PHO,W (+25),1,28:00:00,4,14,0.286,0,2,0,4,6,0.667,2,3,5,11,0,0,3,1,12,9.6,27
32,27,2022/12/25,23-137,MEM,@,GSW,L (-14),1,40:54:00,15,29,0.517,2,10,0.2,4,7,0.571,0,7,7,8,1,0,6,1,36,22.8,-7
33,28,2022/12/27,23-139,MEM,,PHO,L (-17),1,31:08:00,8,22,0.364,3,10,0.3,15,16,0.938,1,2,3,6,1,0,2,3,34,24.7,-23
34,29,2022/12/29,23-141,MEM,@,TOR,W (+13),1,35:35:00,9,19,0.474,1,4,0.25,0,0,,0,4,4,17,0,1,3,1,19,19.7,21
